order_number,table_number,timestamp,items_summary,universal_comment,order_total,payment_method,printed_status,items_json
1,12,2025-08-19 07:02:00,,,8.80,Card,All Copies Printed,"[{""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}, {""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.1000000000000005, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}]"
2,4,2025-08-19 07:23:00,,,13.20,Card,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 6.6, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
3,14,2025-08-19 07:53:00,,,9.00,Card,All Copies Printed,"[{""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}, {""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.4, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
4,9,2025-08-19 08:06:00,,,9.80,Card,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.0, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 5.8, ""generalSelectedOptions"": []}]"
5,5,2025-08-19 08:26:00,,,18.30,Card,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 6.5, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}, {""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.7, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
6,3,2025-08-19 08:51:00,,,8.30,Cash,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 5.8, ""generalSelectedOptions"": []}, {""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}]"
7,11,2025-08-19 09:07:00,,,14.70,Cash,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.9, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}, {""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.6, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}]"
8,12,2025-08-19 09:26:00,,,9.90,Cash,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.7, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.0, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}]"
9,7,2025-08-19 09:42:00,,,38.70,Card,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 6.5, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 5.8, ""generalSelectedOptions"": []}, {""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 6.7, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.7, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
10,2,2025-08-19 10:02:00,,,8.10,Card,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.8, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}]"
