order_number,table_number,timestamp,items_summary,universal_comment,order_total,printed_status,items_json
3,2,2025-06-10 17:53:56,1x TestSTEAK2 (Cook: Rare) [Unit EUR 10.00] | 1x TestSTEAK2 (Cook: Rare) (Options: Peppercorn (+EUR 2.00)) [Unit EUR 12.00] | 1x TestSTEAK2 (Cook: Medium) (Options: Sausage (+EUR 3.00)) [Unit EUR 13.00],,EUR 35.00,All Copies Printed,"[{""id"": 1, ""name"": ""TestSTEAK2"", ""basePrice"": 10, ""quantity"": 1, ""steakPreference"": ""Rare"", ""generalSelectedOptions"": [], ""itemPriceWithModifiers"": 10, ""comment"": """", ""isSteak"": true}, {""id"": 1, ""name"": ""TestSTEAK2"", ""basePrice"": 10, ""quantity"": 1, ""steakPreference"": ""Rare"", ""generalSelectedOptions"": [{""name"": ""Peppercorn"", ""priceChange"": 2}], ""itemPriceWithModifiers"": 12, ""comment"": """", ""isSteak"": true}, {""id"": 1, ""name"": ""TestSTEAK2"", ""basePrice"": 10, ""quantity"": 1, ""steakPreference"": ""Medium"", ""generalSelectedOptions"": [{""name"": ""Sausage"", ""priceChange"": 3}], ""itemPriceWithModifiers"": 13, ""comment"": """", ""isSteak"": true}]"
4,2,2025-06-10 17:54:19,1x TestSTEAK2 (Cook: Rare) (Options: Sausage (+EUR 3.00)) [Unit EUR 13.00],,EUR 13.00,All Copies Printed,"[{""id"": 1, ""name"": ""TestSTEAK2"", ""basePrice"": 10, ""quantity"": 1, ""steakPreference"": ""Rare"", ""generalSelectedOptions"": [{""name"": ""Sausage"", ""priceChange"": 3}], ""itemPriceWithModifiers"": 13, ""comment"": """", ""isSteak"": true}]"
5,2,2025-06-10 17:55:55,1x TestSTEAK2 (Cook: Rare) [Unit EUR 10.00],,EUR 10.00,All Copies Printed,"[{""id"": 1, ""name"": ""TestSTEAK2"", ""basePrice"": 10, ""quantity"": 1, ""steakPreference"": ""Rare"", ""generalSelectedOptions"": [], ""itemPriceWithModifiers"": 10, ""comment"": """", ""isSteak"": true}]"
6,2,2025-06-10 17:57:39,1x TestSTEAK2 (Cook: Rare) [Unit EUR 10.00],,EUR 10.00,All Copies Printed,"[{""id"": 1, ""name"": ""TestSTEAK2"", ""basePrice"": 10, ""quantity"": 1, ""steakPreference"": ""Rare"", ""generalSelectedOptions"": [], ""itemPriceWithModifiers"": 10, ""comment"": """", ""isSteak"": true}]"
7,2,2025-06-10 18:04:11,1x TestSTEAK2 (Cook: Rare) (Options: Sausage (+EUR 3.00)) [Unit EUR 13.00],,EUR 13.00,All Copies Printed,"[{""id"": 1, ""name"": ""TestSTEAK2"", ""basePrice"": 10, ""quantity"": 1, ""steakPreference"": ""Rare"", ""generalSelectedOptions"": [{""name"": ""Sausage"", ""priceChange"": 3}], ""itemPriceWithModifiers"": 13, ""comment"": """", ""isSteak"": true}]"
8,2,2025-06-10 18:12:16,1x TestSTEAK2 (Cook: Medium) [Unit EUR 10.00],,EUR 10.00,All Copies Printed,"[{""id"": 1, ""name"": ""TestSTEAK2"", ""basePrice"": 10, ""quantity"": 1, ""steakPreference"": ""Medium"", ""generalSelectedOptions"": [], ""itemPriceWithModifiers"": 10, ""comment"": """", ""isSteak"": true}]"
9,2,2025-06-10 18:13:36,1x TestSTEAK2 (Cook: Rare) [Unit EUR 10.00],,EUR 10.00,All Copies Printed,"[{""id"": 1, ""name"": ""TestSTEAK2"", ""basePrice"": 10, ""quantity"": 1, ""steakPreference"": ""Rare"", ""generalSelectedOptions"": [], ""itemPriceWithModifiers"": 10, ""comment"": """", ""isSteak"": true}]"
10,2,2025-06-10 18:14:02,"1x TestSTEAK2 (Cook: Rare) (Options: Peppercorn (+EUR 2.00), Sausage (+EUR 3.00)) [Unit EUR 15.00]",,EUR 15.00,All Copies Printed,"[{""id"": 1, ""name"": ""TestSTEAK2"", ""basePrice"": 10, ""quantity"": 1, ""steakPreference"": ""Rare"", ""generalSelectedOptions"": [{""name"": ""Peppercorn"", ""priceChange"": 2}, {""name"": ""Sausage"", ""priceChange"": 3}], ""itemPriceWithModifiers"": 15, ""comment"": """", ""isSteak"": true}]"
11,2,2025-06-10 18:14:30,2x TestSTEAK2 (Cook: Rare) (Options: Sausage (+EUR 3.00)) (Note: fasdfasqfsdaf) [Unit EUR 13.00],vdbethwt54,EUR 26.00,All Copies Printed,"[{""id"": 1, ""name"": ""TestSTEAK2"", ""basePrice"": 10, ""quantity"": 2, ""steakPreference"": ""Rare"", ""generalSelectedOptions"": [{""name"": ""Sausage"", ""priceChange"": 3}], ""itemPriceWithModifiers"": 13, ""comment"": ""fasdfasqfsdaf"", ""isSteak"": true}]"
12,2,2025-06-10 18:48:27,1x TestSTEAK2 (Cook: Rare) (Options: Sausage (+EUR 3.00)) [Unit EUR 13.00],,EUR 13.00,All Copies Printed,"[{""id"": 1, ""name"": ""TestSTEAK2"", ""basePrice"": 10, ""quantity"": 1, ""steakPreference"": ""Rare"", ""generalSelectedOptions"": [{""name"": ""Sausage"", ""priceChange"": 3}], ""itemPriceWithModifiers"": 13, ""comment"": """", ""isSteak"": true}]"
