order_number,table_number,timestamp,items_summary,universal_comment,order_total,payment_method,printed_status,items_json
1,15,2025-08-21 07:06:00,,,22.10,Card,All Copies Printed,"[{""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}, {""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}, {""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 6.7, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.0, ""generalSelectedOptions"": []}]"
2,14,2025-08-21 07:33:00,,,13.00,Card,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 5.8, ""generalSelectedOptions"": []}, {""name"": ""Croissant"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.8, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}]"
3,11,2025-08-21 07:45:00,,,27.20,Cash,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 6.5, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}, {""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.9, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
4,5,2025-08-21 08:03:00,,,15.10,Card,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.8, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}]"
5,8,2025-08-21 08:27:00,,,29.20,Card,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.8, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Toastie"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.6000000000000005, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Toastie"", ""quantity"": 2, ""itemPriceWithModifiers"": 5.1000000000000005, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.2, ""generalSelectedOptions"": []}]"
6,6,2025-08-21 08:45:00,,,19.70,Card,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.9000000000000004, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 6.3, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
7,8,2025-08-21 09:07:00,,,9.90,Card,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}, {""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}]"
8,2,2025-08-21 09:27:00,,,7.00,Card,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.5, ""generalSelectedOptions"": []}]"
9,5,2025-08-21 09:45:00,,,5.80,Card,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.9, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
10,10,2025-08-21 10:07:00,,,4.00,Card,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.0, ""generalSelectedOptions"": []}]"
11,5,2025-08-21 10:20:00,,,6.70,Card,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.9000000000000004, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.8, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}]"
12,13,2025-08-21 10:41:00,,,8.00,Cash,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.0, ""generalSelectedOptions"": []}, {""name"": ""Tea"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.0, ""generalSelectedOptions"": []}]"
13,2,2025-08-21 11:13:00,,,29.40,Cash,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 5.8, ""generalSelectedOptions"": []}, {""name"": ""Toastie"", ""quantity"": 2, ""itemPriceWithModifiers"": 5.1000000000000005, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Croissant"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.6, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}]"
14,7,2025-08-21 11:33:00,,,27.50,Cash,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 6.3, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.0, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 6.2, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 5.8, ""generalSelectedOptions"": []}]"
15,11,2025-08-21 11:42:00,,,3.90,Cash,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.9, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
16,10,2025-08-21 12:03:00,,,11.90,Cash,All Copies Printed,"[{""name"": ""Latte"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.5, ""generalSelectedOptions"": []}, {""name"": ""Toastie"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}]"
17,7,2025-08-21 12:25:00,,,25.40,Card,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 5.8, ""generalSelectedOptions"": []}, {""name"": ""Toastie"", ""quantity"": 2, ""itemPriceWithModifiers"": 5.1000000000000005, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.6, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
18,13,2025-08-21 12:51:00,,,8.30,Card,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 5.8, ""generalSelectedOptions"": []}, {""name"": ""Espresso"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.5, ""generalSelectedOptions"": []}]"
19,3,2025-08-21 13:12:00,,,19.30,Card,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.4, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 6.5, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.9000000000000004, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}]"
20,9,2025-08-21 13:27:00,,,5.90,Card,All Copies Printed,"[{""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.7, ""generalSelectedOptions"": [{""name"": ""Almond Milk"", ""priceChange"": 0.4}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Cappuccino"", ""quantity"": 1, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}]"
21,10,2025-08-21 13:52:00,,,21.40,Card,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 6.5, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Toastie"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}]"
22,13,2025-08-21 14:04:00,,,8.40,Cash,All Copies Printed,"[{""name"": ""Toastie"", ""quantity"": 2, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}]"
23,8,2025-08-21 14:29:00,,,6.30,Card,All Copies Printed,"[{""name"": ""Sandwich"", ""quantity"": 1, ""itemPriceWithModifiers"": 6.3, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}]"
24,10,2025-08-21 14:43:00,,,27.60,Card,All Copies Printed,"[{""name"": ""Cappuccino"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.2, ""generalSelectedOptions"": []}, {""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 5.8, ""generalSelectedOptions"": []}, {""name"": ""Tea"", ""quantity"": 1, ""itemPriceWithModifiers"": 2.8, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Syrup"", ""priceChange"": 0.3}]}, {""name"": ""Espresso"", ""quantity"": 2, ""itemPriceWithModifiers"": 3.4, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}]"
25,15,2025-08-21 15:00:00,,,22.60,Card,All Copies Printed,"[{""name"": ""Croissant"", ""quantity"": 2, ""itemPriceWithModifiers"": 2.7, ""generalSelectedOptions"": [{""name"": ""Extra Shot"", ""priceChange"": 0.5}]}, {""name"": ""Sandwich"", ""quantity"": 2, ""itemPriceWithModifiers"": 6.5, ""generalSelectedOptions"": [{""name"": ""Syrup"", ""priceChange"": 0.3}, {""name"": ""Almond Milk"", ""priceChange"": 0.4}]}, {""name"": ""Toastie"", ""quantity"": 1, ""itemPriceWithModifiers"": 4.2, ""generalSelectedOptions"": []}]"
